Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked_0,Embarked_1,Embarked_2,FamilySize,Survived
1088,-1.821908562170309,1.9569900306355188,0,0,2,1,1.0,0.0,0.0,2,0
1020,0.9687220037726282,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
871,-0.2715582477575661,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
123,0.23230560442657533,-0.062068409135180025,0,1,0,2,1.0,0.0,0.0,1,0
307,-0.11652321631629182,1.5003792603286252,1,0,0,1,1.0,0.0,0.0,0,1
338,0.891204488051991,1.9569900306355188,1,0,0,1,1.0,0.0,0.0,0,1
535,0.03851181512498246,-0.4759814602371998,1,0,0,3,0.0,0.0,1.0,0,0
1227,0.03851181512498246,-0.14077420307613292,0,0,0,1,0.0,0.0,1.0,0,0
909,-0.6591458263607518,-0.5037744195548081,0,0,0,3,1.0,0.0,0.0,0,0
807,0.7361694566107168,-0.6434642498641785,0,0,0,1,0.0,0.0,1.0,0,0
1102,0.19354684656625676,-0.2079606612526121,0,0,0,3,0.0,0.0,1.0,0,0
761,-0.11652321631629182,-0.3631178776169992,0,0,0,3,0.0,0.0,1.0,0,0
1309,-0.11652321631629182,-0.2111836778218262,0,1,1,3,1.0,0.0,0.0,2,0
1121,0.5036169094488053,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
773,2.131484739582185,-0.44045480789208313,1,0,0,2,0.0,0.0,1.0,0,0
1032,-1.5118384992877605,0.2633112576111806,1,5,2,3,0.0,0.0,1.0,7,0
1209,-0.8141808578020261,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
677,-0.3878345213385218,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
811,-0.2715582477575661,-0.49096549047799737,0,0,0,3,0.0,0.0,1.0,0,0
427,-0.11652321631629182,-0.14077420307613292,1,1,0,2,0.0,0.0,1.0,1,1
218,0.9687220037726282,-0.12143997050736192,0,1,0,2,0.0,0.0,1.0,1,0
499,-0.34907576347820324,2.286638695933064,1,1,2,1,0.0,0.0,1.0,3,0
316,-0.2715582477575661,-0.4916093204225374,1,0,0,3,0.0,0.0,1.0,0,1
173,-2.2094961407734948,-0.4282104384062805,1,1,1,3,0.0,0.0,1.0,2,1
495,-0.6591458263607518,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
1168,-0.11652321631629182,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
1182,-0.11652321631629182,0.12217135985915248,0,0,0,1,0.0,0.0,1.0,0,0
1009,-2.2094961407734948,-0.32058256596570306,1,1,1,3,0.0,0.0,1.0,2,0
690,-1.1242509206845748,3.4425841256384593,1,0,1,1,0.0,0.0,1.0,1,1
217,-0.19404073203692898,-0.4902404567566684,1,0,0,3,0.0,0.0,1.0,0,1
375,-2.0544611093322205,-0.23599529847733,1,3,1,3,0.0,0.0,1.0,4,0
647,-0.8141808578020261,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
757,-0.11652321631629182,-0.49273843960455366,0,0,0,3,0.0,0.0,1.0,0,0
146,-0.8141808578020261,0.06706879703815516,0,1,1,2,0.0,0.0,1.0,2,0
61,-0.5816283106401147,-0.5036932157780193,0,0,0,3,1.0,0.0,0.0,0,0
818,0.1160293308456196,0.07198355895713669,0,1,1,2,1.0,0.0,0.0,2,0
521,0.03851181512498246,1.1642864953159084,1,0,0,1,0.0,0.0,1.0,0,1
286,0.2710643622868939,-0.4759814602371998,0,0,0,3,1.0,0.0,0.0,0,0
1307,0.6974106987503982,-0.5032910637405889,0,0,0,3,0.0,0.0,1.0,0,0
1215,0.2710643622868939,-0.13014037516330884,0,0,0,1,0.0,0.0,1.0,0,0
542,-1.5893560150083976,-0.038786126275866,1,4,2,3,0.0,0.0,1.0,6,0
1197,2.674107349626645,-0.13014037516330884,1,1,1,1,0.0,0.0,1.0,2,0
1063,-0.19404073203692898,-0.5037744195548081,0,0,0,3,1.0,0.0,0.0,0,0
322,-0.19404073203692898,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
1259,-0.5816283106401147,0.12386310520891992,1,0,0,3,0.0,0.0,1.0,0,0
665,-0.736663342081389,-0.4902404567566684,0,1,0,3,0.0,0.0,1.0,1,1
1306,0.7361694566107168,1.4620336768749818,1,0,0,1,1.0,0.0,0.0,0,0
865,-0.4265932791988404,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
588,2.3640372867440966,0.8878069695824834,0,1,1,1,1.0,0.0,0.0,2,1
1163,-0.11652321631629182,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
112,-1.1630096785448933,-0.3640033854686489,1,1,0,3,1.0,0.0,0.0,1,0
1082,0.34858187800753104,-0.14077420307613292,0,1,0,2,0.0,0.0,1.0,1,0
16,1.9764497081409111,-0.33411652876384274,1,0,0,2,0.0,0.0,1.0,0,1
863,1.4338270980964511,-0.14214306674200186,1,0,0,1,0.0,0.0,1.0,0,1
2,0.6586519408900796,0.7347436506052941,1,1,0,1,1.0,0.0,0.0,1,1
106,-0.11652321631629182,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
1,-0.5816283106401147,-0.5032910637405889,0,1,0,3,0.0,0.0,1.0,1,0
691,0.1160293308456196,0.45858700655576756,0,1,0,1,0.0,0.0,1.0,1,1
886,0.7361694566107168,-0.08035472629872359,1,0,5,3,0.0,1.0,0.0,5,0
884,-0.11652321631629182,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
1073,0.5811344251694425,0.9643376623594495,0,1,1,1,1.0,0.0,0.0,2,0
315,1.0462395194932654,-0.13594064493394017,0,1,1,2,0.0,0.0,1.0,2,0
984,-0.19404073203692898,0.36191584371191265,1,1,2,1,0.0,0.0,1.0,3,0
656,-0.4265932791988404,0.7776018439404888,0,2,0,2,0.0,0.0,1.0,2,0
695,2.3640372867440966,-0.13014037516330884,0,0,0,1,0.0,0.0,1.0,0,0
230,-0.11652321631629182,-0.15108514930505848,1,3,1,3,0.0,0.0,1.0,4,0
113,-0.5816283106401147,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
267,-1.0467334049639376,0.12386310520891992,0,4,1,3,0.0,0.0,1.0,5,0
654,-0.11652321631629182,-0.4920926762367567,1,0,0,3,0.0,1.0,0.0,0,1
874,1.356309582375814,-0.4694561567452396,0,0,0,3,0.0,0.0,1.0,0,0
891,0.19354684656625676,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
848,0.4260993937281682,-0.4908050163476765,0,0,0,3,1.0,0.0,0.0,0,0
473,0.2710643622868939,-0.10693929608078369,1,1,2,2,0.0,0.0,1.0,3,1
216,0.1160293308456196,1.5466209443633547,1,1,0,1,1.0,0.0,0.0,1,1
543,-1.4343209835671233,-0.038786126275866,1,4,2,3,0.0,0.0,1.0,6,0
810,0.2710643622868939,0.38318349953756076,1,1,0,1,0.0,0.0,1.0,1,1
783,-0.03900570059565468,-0.06343727280104898,0,0,0,1,0.0,0.0,1.0,0,0
678,-0.8916983735226632,-0.4531825331921051,1,0,0,3,0.0,0.0,1.0,0,1
861,0.891204488051991,-0.3706910965141868,0,2,0,3,0.0,0.0,1.0,2,0
733,-0.11652321631629182,-0.6434642498641785,0,0,0,2,0.0,0.0,1.0,0,0
264,0.8136869723313539,-0.6434642498641785,0,0,0,1,0.0,0.0,1.0,0,0
701,-0.8916983735226632,3.7555570153454396,1,1,0,1,1.0,0.0,0.0,1,1
424,-0.11652321631629182,-0.3650513008738763,1,1,1,3,0.0,0.0,1.0,2,0
429,-0.11652321631629182,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
1264,1.5113446138170883,-0.6434642498641785,0,0,0,1,0.0,0.0,1.0,0,0
333,0.6586519408900796,2.3236154157208384,0,0,1,1,0.0,0.0,1.0,1,0
453,0.03851181512498246,-0.10693929608078369,0,0,0,1,1.0,0.0,0.0,0,0
295,-0.4265932791988404,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
74,-0.2715582477575661,-0.3640033854686489,0,1,0,3,1.0,0.0,0.0,1,0
867,-0.19404073203692898,-0.3755246546563796,1,1,0,2,1.0,0.0,0.0,1,1
325,-0.11652321631629182,0.7012316252938433,0,8,2,3,0.0,0.0,1.0,10,0
29,-0.11652321631629182,-0.4911259646083181,1,0,0,3,0.0,1.0,0.0,0,1
207,0.19354684656625676,-0.33701666364915833,0,1,0,3,0.0,0.0,1.0,1,0
1238,-0.2715582477575661,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
772,1.4338270980964511,-0.4916093204225374,0,0,0,3,0.0,0.0,1.0,0,0
693,-0.11652321631629182,0.4488386864945933,0,0,0,3,0.0,0.0,1.0,0,1
153,2.0152084660012295,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
516,1.356309582375814,0.014301809511465414,0,0,0,1,0.0,0.0,1.0,0,0
634,-0.11652321631629182,-0.6434642498641785,0,0,0,1,0.0,0.0,1.0,0,0
828,-2.2094961407734948,0.07198355895713669,0,0,2,2,1.0,0.0,0.0,2,1
1290,-0.5816283106401147,-0.4931405916419841,0,0,0,3,0.0,0.0,1.0,0,0
696,1.7438971609789997,-0.3824521101857702,0,0,0,2,0.0,0.0,1.0,0,0
980,-0.11652321631629182,-0.49362394745620336,1,0,0,3,0.0,1.0,0.0,0,0
540,-0.5816283106401147,0.3135802622899852,1,0,2,1,1.0,0.0,0.0,2,1
420,-1.5118384992877605,-0.17654253332835926,1,0,2,3,0.0,0.0,1.0,2,0
566,-0.4265932791988404,-0.17654253332835926,0,2,0,3,0.0,0.0,1.0,2,0
831,-1.1242509206845748,-0.3640033854686489,1,1,0,3,1.0,0.0,0.0,1,1
776,-0.8916983735226632,-0.49362394745620336,0,0,0,3,0.0,0.0,1.0,0,0
46,-0.11652321631629182,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
1229,0.7361694566107168,-0.5036932157780193,0,0,2,3,1.0,0.0,0.0,2,0
785,-0.34907576347820324,-0.507157910254343,0,0,0,3,0.0,0.0,1.0,0,0
511,-0.03900570059565468,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,1
126,-1.3568034678464862,-0.42611460759582565,0,1,0,3,1.0,0.0,0.0,1,1
839,0.19354684656625676,0.4488386864945933,0,0,0,3,0.0,0.0,1.0,0,1
699,1.5113446138170883,1.5003792603286252,0,1,1,1,1.0,0.0,0.0,2,0
622,0.9687220037726282,0.37263087540152556,0,1,0,1,0.0,0.0,1.0,1,1
1204,-0.11652321631629182,-0.4970074381557383,0,0,0,3,0.0,0.0,1.0,0,0
626,2.4415548024647338,-0.01856638585544531,0,0,0,1,0.0,0.0,1.0,0,0
204,1.2400333087948583,-0.5037744195548081,0,0,0,3,1.0,0.0,0.0,0,0
386,-0.8916983735226632,0.7776018439404888,0,0,0,2,0.0,0.0,1.0,0,0
903,1.2787920666551769,-0.14077420307613292,0,0,0,1,0.0,0.0,1.0,0,0
963,-0.6591458263607518,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
334,-1.0467334049639376,-0.29544806362630077,0,2,0,3,0.0,0.0,1.0,2,0
89,-0.5041107949194775,4.44143891572259,1,3,2,1,0.0,0.0,1.0,5,1
735,-0.5041107949194775,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
1120,0.8524457301916725,-0.3515173380757366,0,0,0,3,0.0,0.0,1.0,0,0
843,0.03851181512498246,-0.04410304023227799,1,0,0,1,1.0,0.0,0.0,0,1
1025,-0.11652321631629182,-0.5190001277027153,0,1,0,3,1.0,0.0,0.0,1,0
105,0.5811344251694425,-0.4902404567566684,0,2,0,3,0.0,0.0,1.0,2,0
1018,-0.5816283106401147,-0.49273843960455366,0,0,0,3,0.0,0.0,1.0,0,0
281,2.7516248653472823,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
251,-0.11652321631629182,-0.5032910637405889,0,0,0,3,0.0,0.0,1.0,0,0
802,0.1160293308456196,-0.13594064493394017,1,1,1,2,0.0,0.0,1.0,2,1
837,-0.6591458263607518,-0.4759814602371998,0,0,0,3,0.0,0.0,1.0,0,0
51,-1.744391046449672,0.12386310520891992,0,4,1,3,0.0,0.0,1.0,5,0
442,-0.736663342081389,-0.4597890404608541,0,0,0,3,0.0,0.0,1.0,0,0
474,-0.5041107949194775,-0.3768123145454597,1,0,0,2,1.0,0.0,0.0,0,1
794,-0.11652321631629182,-0.049984513779698155,0,0,0,1,1.0,0.0,0.0,0,0
358,0.6586519408900796,-0.3921192264701557,1,0,0,2,0.0,0.0,1.0,0,0
955,-0.5816283106401147,-0.49410730327042257,1,0,0,3,0.0,1.0,0.0,0,0
698,-0.11652321631629182,-0.4939468291401018,1,0,0,3,0.0,1.0,0.0,0,1
742,0.5036169094488053,0.8810399881834134,0,1,0,1,0.0,0.0,1.0,1,0
227,-0.8141808578020261,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,1
328,0.5036169094488053,-0.3921192264701557,1,0,0,2,0.0,0.0,1.0,0,1
201,-0.11652321631629182,-0.4597890404608541,0,0,0,3,0.0,0.0,1.0,0,0
1171,-0.5816283106401147,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
336,-0.11652321631629182,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
142,-0.5816283106401147,-0.49362394745620336,1,0,0,3,0.0,0.0,1.0,0,1
80,0.03851181512498246,-0.40226969856876044,1,0,0,3,0.0,0.0,1.0,0,1
399,-0.5041107949194775,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
1022,0.19354684656625676,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
1201,1.2012745509345397,-0.3706910965141868,1,1,0,3,0.0,0.0,1.0,1,0
1277,-0.4265932791988404,0.6132608671059354,1,1,2,2,0.0,0.0,1.0,3,0
560,0.5036169094488053,-0.3070486031675634,1,1,0,3,0.0,0.0,1.0,1,1
986,-0.34907576347820324,-0.14077420307613292,0,0,0,1,1.0,0.0,0.0,0,0
994,-0.11652321631629182,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
407,1.6663796452583626,-0.49362394745620336,0,0,0,3,0.0,0.0,1.0,0,0
472,0.6586519408900796,-0.4759814602371998,0,0,0,3,0.0,0.0,1.0,0,0
815,0.07727057298530103,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
213,-0.5816283106401147,-0.5032910637405889,0,0,0,3,0.0,0.0,1.0,0,0
640,-0.11652321631629182,-0.3321831055069656,0,1,0,3,0.0,0.0,1.0,1,0
1173,-2.228875519703654,-0.3771351962293582,0,1,1,3,0.0,0.0,1.0,2,0
135,-0.34907576347820324,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
956,-1.279285952125849,4.429355020367108,0,2,2,1,1.0,0.0,0.0,4,0
284,-0.8141808578020261,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,1
587,1.356309582375814,-0.3534507613326137,0,0,0,2,0.0,0.0,1.0,0,0
1106,0.6586519408900796,-0.4931405916419841,1,4,2,3,0.0,0.0,1.0,6,0
449,-1.8994260778909462,-0.2711197987850163,1,2,1,3,1.0,0.0,0.0,3,1
870,-1.9769435936115833,-0.4282104384062805,0,1,1,3,0.0,0.0,1.0,2,1
1107,0.9687220037726282,0.1782406343085883,0,0,0,1,0.0,0.0,1.0,0,0
306,-2.2156975420311458,2.286638695933064,0,1,2,1,0.0,0.0,1.0,3,1
1305,-0.11652321631629182,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
238,-1.6668735307290348,-0.13594064493394017,1,0,2,2,0.0,0.0,1.0,2,1
101,-0.11652321631629182,-0.4908050163476765,1,0,0,3,0.0,0.0,1.0,0,0
737,1.4338270980964511,0.02114999468732407,1,1,3,3,0.0,0.0,1.0,4,0
887,-0.19404073203692898,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
1136,-0.11652321631629182,-0.19007649612649893,0,1,2,3,0.0,0.0,1.0,3,0
1023,1.8214146766996369,-0.09243862165420545,0,0,0,1,1.0,0.0,0.0,0,0
125,1.898932192420274,0.8508302497947088,0,0,1,1,0.0,0.0,1.0,1,0
393,-0.11652321631629182,-0.4902404567566684,0,2,0,3,0.0,0.0,1.0,2,0
1049,-0.5041107949194775,-0.4916093204225374,1,0,0,3,0.0,0.0,1.0,0,0
78,-0.11652321631629182,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
348,-0.11652321631629182,-0.3321831055069656,1,1,0,3,0.0,0.0,1.0,1,1
767,-0.11652321631629182,0.12217135985915248,0,0,0,1,1.0,0.0,0.0,0,0
